"Variable","Media","Mediana","Desviacion","Minimo","Maximo","N_NA","N_Total","Completitud"
"Radiacion_global_Wm2",189.109,10.835,261.701,0,873,0,2438,100
"Precipitacion_mm",0.029,0,0.273,0,6.035,4,2438,99.8
"Rayos_conteo",0.003,0,0.084,0,3,4,2438,99.8
"Velocidad_viento_ms",0.516,0.458,0.345,0.048,2.103,4,2438,99.8
"Direccion_viento_grados",176.13,163.9,79.516,0.9,359.7,4,2438,99.8
"Rachas_ms",1.512,1.347,1.044,0.123,6.328,4,2438,99.8
"Temperatura_aire_C",15.594,14.225,6.836,2.317,32.92,4,2438,99.8
"Presion_atmosferica_mbar",1016.62,1016.331,3.037,1009.648,1027.098,4,2438,99.8
"Humedad_relativa_porc",67.616,70.65,23.167,15.7,100,4,2438,99.8
"Radiacion_global_MJm2",0.682,0.037,0.942,0,3.143,4,2438,99.8
"Temperatura_superficie_C",15.962,13.75,8.176,1.126,36.38,4,2438,99.8
"Flujo_energia_suelo_Wm2",-0.098,-1.015,4.76,-10.82,12.46,4,2438,99.8
"Radiacion_neta_Wm2",526.439,317.9,768.792,-1642,3004,4,2438,99.8
"Temperatura_termocupla1_C",16.584,14.15,8.854,0.719,38.43,4,2438,99.8
"Temperatura_termocupla2_C",16.584,14.15,8.854,0.721,38.43,4,2438,99.8
"Humedad_suelo_5cm_m3m3",0.357,0.365,0.036,0.214,0.45,4,2438,99.8
"Humedad_suelo_40cm_m3m3",0.49,0.491,0.006,0.476,0.501,4,2438,99.8
